Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-06-11,16.32396375,16.42142025,15.58329435,16.22650725,55243161,913867663.36,1.4432
2026-06-12,16.49938545,17.4252222,16.49938545,17.0548875,108914449,1897853098.56,2.8454
2026-06-15,18.76037625,18.76037625,18.76037625,18.76037625,17182883,330770497.75,0.4489
2026-06-16,19.26715005,19.46206305,17.0548875,17.4447135,179883134,3315493232.62,4.6995
2026-06-17,17.6396265,19.18918485,17.54217,19.18918485,106779361,2028316754.9,2.7896
2026-06-18,19.3938435,19.5887565,18.3997872,18.8091045,128121352,2482469260.62,3.3472
2026-06-22,18.66291975,20.10527595,18.07818075,19.9201086,139791923,2787251288.78,3.6521
2026-06-23,20.0955303,21.00187575,19.9980738,20.22222375,120266428,2529748753.43,3.142
2026-06-24,20.86543665,22.24931895,20.6802693,22.24931895,126401684,2856787167.86,3.3023
2026-06-25,21.93745815,22.17135375,21.050604,21.2260257,166338079,3672289476.79,4.3456
2026-06-26,20.270952,20.41713675,19.22816745,19.4523174,107349140,2157127284.33,2.8045
2026-06-29,18.8870697,19.1599479,18.13665465,18.2243655,92683728,1761363195.59,2.4214
2026-06-30,17.8345395,18.35105895,17.4057309,17.4836961,82346594,1489782571.5,2.1513
2026-07-01,17.06463315,17.2498005,16.177779,16.2752355,106023689,1818508096.07,2.7699
2026-07-02,16.2752355,16.8599745,16.0023573,16.0803225,87675498,1474464354.69,2.2905
2026-07-03,16.8794658,17.35700265,16.6650615,16.92819405,90738559,1584924608.03,2.3704
2026-07-06,17.51293305,17.737083,16.8015006,16.92819405,83293567,1464387420.18,2.1759
2026-07-07,16.86972015,17.1133614,15.9243921,15.99261165,75563448,1261776609.04,1.974
2026-07-08,15.9633747,16.1972703,15.4176183,15.42736395,57695348,936387683.48,1.5072
2026-07-09,15.66125955,15.81718995,15.17397705,15.52482045,64058138,1017257453.05,1.6734
2026-07-10,15.1057575,15.56380305,14.7938967,15.36889005,60615187,951366684.25,1.5835
2026-07-13,15.59304,15.73922475,14.813388,14.9693184,62115502,958290997.24,1.6227
2026-07-14,14.82313365,14.8913532,14.29686855,14.8913532,71558089,1069588884.43,1.8693
2026-07-15,14.8913532,15.91464645,14.8913532,15.42736395,80555363,1286100222.29,2.1044
2026-07-16,15.15448575,15.23245095,14.423562,14.5600011,63616793,961486000.67,1.6619
2026-07-17,14.53,14.68,14.06,14.21,57180195,820403380.13,1.4937
2026-07-20,14.41,14.86,14.23,14.52,76104039,1106103014.2,1.9881
2026-07-21,14.65,14.89,14.15,14.88,73410468,1068833679.84,1.9177
2026-07-22,15.06,15.84,15.06,15.66,87960264,1366270733.92,2.2978
2026-07-23,15.84,16.03,15.2,16.01,65977901,1034584296.23,1.7236
2026-07-24,16.12,16.4,15.34,15.55,77358702,1224021789.25,2.0209
2026-07-27,15.52,16.04,15.3,15.94,65007315,1024661253.82,1.6982
2026-07-28,15.61,15.87,15.41,15.77,45284558,709422624.69,1.183
