Date,Open,High,Low,Close,Volume,Amount
2026-03-30,18.2925,18.7067,17.1944,17.7724,34213065.0,628266414.0
2026-03-31,17.965,18.4177,17.021,17.2715,24324420.0,438523769.0
2026-04-01,17.2715,19.4003,17.2715,18.4948,59586286.0,1156562879.0
2026-04-02,18.6971,19.9205,18.3214,18.6971,45215697.0,896429818.0
2026-04-08,19.3425,19.9782,18.2058,19.5544,45694322.0,917472452.0
2026-04-09,19.6507,19.8434,18.7838,19.3425,17227790.0,344699967.0
2026-04-10,19.4966,19.4966,18.2636,18.8223,25962689.0,503255393.0
2026-04-13,18.9668,18.9668,17.4063,17.9843,30872706.0,571375632.0
2026-04-14,17.9843,18.4948,17.4352,18.0421,20223547.0,375867303.0
2026-04-15,18.0035,18.2251,17.6471,17.9457,10154052.0,189102259.0
2026-04-16,17.9457,18.2444,16.9536,17.204,39678138.0,713113390.0
2026-04-17,17.31,17.3774,16.6742,17.3678,20308455.0,360880795.0
2026-04-20,17.3389,18.6971,17.1655,18.5815,32168360.0,605912509.0
2026-04-21,18.071,18.5333,17.9168,18.2636,18122762.0,341078406.0
2026-04-22,17.9265,18.2058,17.1559,17.4448,22362000.0,404351094.0
2026-04-23,17.4448,17.5315,16.9728,17.4641,18918000.0,337277842.0
2026-04-24,17.4737,17.5604,17.127,17.4159,17071554.0,306884173.0
2026-04-27,17.4834,17.9457,17.0114,17.0788,20484568.0,366519929.0
2026-04-28,17.3774,17.3967,16.0096,16.6164,25709739.0,439503273.0
2026-04-29,16.6261,18.1962,16.6261,18.0902,22750841.0,419935239.0
2026-04-30,17.8398,18.0132,17.387,17.5701,20692000.0,378405374.0
2026-05-04,17.5315,18.4755,17.5315,18.3696,11675672.0,222393662.0
2026-05-05,18.1866,18.2444,17.8494,18.1866,3130000.0,58612362.0
2026-05-06,18.1962,18.832,17.6471,18.6297,24811826.0,471383006.0
2026-05-07,18.62,19.3425,18.0324,19.1017,28772351.0,566351496.0
2026-05-08,18.6682,20.248,18.6682,20.0168,36788249.0,756365634.0
2026-05-11,20.036,20.036,18.2155,18.2636,41019434.0,790311753.0
2026-05-12,18.3985,18.5911,17.7724,18.1384,17731780.0,332944989.0
2026-05-13,18.1384,18.6875,17.8783,18.0421,23888127.0,452305814.0
2026-05-14,17.8205,18.5526,17.2522,18.2251,25956813.0,484490330.0
2026-05-15,18.2155,18.3696,17.493,17.676,12813480.0,236766976.0
2026-05-18,17.5315,17.5315,16.8187,17.127,17159800.0,303498186.0
2026-05-19,17.127,17.6182,16.8958,17.0692,14246000.0,254507787.0
2026-05-20,17.0692,18.0132,16.8958,17.8687,17247900.0,317194335.0
2026-05-21,17.965,18.6008,17.5604,17.5604,21375275.0,399484541.0
2026-05-22,17.8205,18.7356,17.6086,18.5044,24940618.0,474102442.0
2026-05-26,18.3985,18.3985,16.6935,17.1559,31403962.0,562903256.0
2026-05-27,17.4834,17.4834,16.0192,16.1155,24270847.0,414399490.0
2026-05-28,16.3467,16.4141,15.605,15.8073,19894062.0,328558687.0
2026-05-29,15.894,15.894,15.1908,15.4027,122751317.0,1961756914.0
2026-06-01,15.316,15.316,13.9193,14.4491,66002327.0,1001782996.0
2026-06-02,14.4491,14.7188,14.083,14.5358,25004950.0,373449361.0
2026-06-03,14.5358,14.5358,13.4184,13.6496,40301474.0,575079295.0
2026-06-04,13.6881,13.7748,13.3124,13.5051,24521258.0,343474394.0
2026-06-05,13.3895,13.5532,13.0812,13.3606,26858734.0,370039575.0
2026-06-08,13.3606,13.4954,12.3877,12.5514,35773477.0,471424377.0
2026-06-09,12.667,12.773,12.3588,12.5418,16648466.0,217285851.0
2026-06-10,12.5611,12.9945,12.301,12.5514,17166847.0,224248094.0
2026-06-11,12.5803,12.7537,12.195,12.59,20431910.0,263912986.0
2026-06-12,12.9078,13.8518,12.9078,13.7074,45756133.0,641865966.0
2026-06-15,15.7591,17.1077,15.7591,16.3275,73481677.0,1247360305.0
2026-06-16,16.183,16.183,14.6899,14.9789,49248009.0,779358110.0
2026-06-17,15.1812,16.3563,15.1041,15.8554,36514986.0,603561753.0
2026-06-18,15.8554,16.1348,15.239,15.3449,32496322.0,524162880.0
2026-06-22,15.605,16.7224,15.0367,16.4141,37430457.0,630745317.0
2026-06-23,16.5875,17.7435,16.4816,17.3774,52871970.0,948401108.0
2026-06-24,17.8013,18.8609,17.5508,18.6682,53158270.0,1017100744.0
2026-06-25,17.8205,18.1095,17.021,17.127,47644238.0,861706137.0
2026-06-26,16.6646,16.6646,15.422,16.2119,59595328.0,988226613.0
2026-06-29,15.3064,15.7977,14.6417,14.6899,42142900.0,655510581.0
2026-06-30,14.4491,14.6995,13.3124,13.322,55633441.0,793094144.0
2026-07-02,13.0234,13.7074,13.0234,13.2835,29086310.0,403791466.0
2026-07-03,14.0541,14.3238,13.6785,14.0156,21328503.0,309989260.0
2026-07-06,14.6417,14.6417,13.6977,13.8133,23481082.0,341742068.0
2026-07-07,13.8422,14.006,12.7633,13.0234,30472734.0,411619036.0
2026-07-08,13.0331,13.1968,12.8019,12.9078,14048394.0,188751624.0
2026-07-09,13.1583,13.245,12.5033,12.7537,17885377.0,236700922.0
2026-07-10,12.4262,12.7344,11.8579,12.5996,19694090.0,255039507.0
2026-07-13,12.667,12.7633,11.8771,12.0409,22773642.0,285369049.0
2026-07-14,12.1083,12.1083,11.2317,11.8001,43485061.0,521074145.0
2026-07-15,12.0409,12.4262,11.906,12.2143,25673816.0,326190551.0
2026-07-16,12.2432,12.2432,11.646,11.7326,20257047.0,248015776.0
2026-07-17,11.6556,11.8579,11.251,11.4629,23442000.0,278335280.0
2026-07-20,11.63,11.96,11.44,11.85,18222540.0,213818745.0
2026-07-21,11.98,12.58,11.85,12.55,19135500.0,235581934.0
2026-07-22,12.85,13.5,12.56,13.17,26182495.0,343998832.0
2026-07-23,13.19,13.45,13.0,13.35,14808070.0,195909673.0
2026-07-24,13.71,13.9,13.18,13.26,17262070.0,233302740.0
2026-07-27,13.25,13.73,12.92,13.54,13194000.0,177799502.0
2026-07-28,13.35,13.68,13.12,13.59,14250000.0,191801230.0
2026-07-29,13.59,13.75,13.32,13.7,13097072.0,177910974.0
2026-07-30,13.8,14.37,13.58,13.97,20855749.0,292553095.0
2026-07-31,13.79,13.98,13.41,13.91,16814019.0,231114694.0
2026-08-03,14.17,14.54,13.72,14.44,15692237.0,223563288.0
2026-08-04,14.44,14.71,14.07,14.19,13297086.0,190388561.0
2026-08-05,14.19,15.18,14.0,14.97,19812950.0,293126207.0
2026-08-06,14.96,14.96,14.04,14.36,22281973.0,318977295.0
2026-08-07,14.45,14.8,14.42,14.73,11719591.0,171581455.0
2026-08-10,14.56,14.8,14.31,14.67,11688980.0,170345577.0
2026-08-11,14.41,14.6,13.48,13.58,25191729.0,349634848.0
2026-08-12,13.85,13.95,13.58,13.84,8366946.0,115577916.0
2026-08-13,14.04,14.06,13.61,13.69,9291000.0,128343228.0
2026-08-14,13.82,14.12,13.69,13.94,11602174.0,161757212.0
2026-08-17,14.1,14.93,14.04,14.8,12234000.0,179320930.0
2026-08-18,14.8,15.29,14.73,15.2,23267860.0,350244940.0
2026-08-19,15.4,15.98,15.2,15.76,32160011.0,502884432.0
2026-08-20,15.76,16.64,15.59,15.64,25643712.0,410859528.0
2026-08-21,15.48,16.77,15.48,16.77,24647644.0,405239060.0
2026-08-24,17.0,17.0,16.26,16.65,21865918.0,362109389.0
2026-08-25,16.65,16.96,15.92,16.38,21456314.0,348413873.0
2026-08-26,16.19,16.41,15.75,15.99,13072000.0,210913670.0
2026-08-27,15.51,16.17,15.5,16.0,11602051.0,184882753.0
2026-08-28,16.18,16.6,16.03,16.34,13404048.0,219328100.0
2026-08-31,16.64,16.79,16.2,16.64,20100748.0,333010706.0
2026-09-01,16.64,16.98,16.51,16.71,11588092.0,194197754.0
2026-09-02,16.98,17.0,16.4,16.48,12557162.0,208440765.0
2026-09-03,16.6,17.9,16.6,17.55,26288822.0,460217058.0
2026-09-04,17.51,18.02,17.3,17.49,14012970.0,246400055.0
2026-09-07,17.8,17.94,17.23,17.33,11064362.0,192932534.0
2026-09-08,17.61,18.01,17.42,17.99,20383880.0,363315502.0
2026-09-09,17.99,19.31,17.9,18.91,32525449.0,611398132.0
2026-09-10,19.01,19.02,18.45,18.81,12715644.0,237386696.0
2026-09-11,19.24,19.35,18.16,18.41,24002956.0,445357415.0
2026-09-14,18.99,19.7,18.22,18.32,27283515.0,511927920.0
2026-09-15,18.33,18.99,18.1,18.45,13042797.0,242299363.0
