Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-04-14,4.0137849,4.04351664,3.95432142,3.98405316,442694075,1780807988.88,1.2181
2026-04-15,4.00387432,4.02369548,3.964232,3.964232,534892754,2154823754.8,1.4718
2026-04-16,3.97414258,4.00387432,3.94441084,3.99396374,415428481,1663886879.83,1.1431
2026-04-17,3.97414258,4.00387432,3.964232,3.98405316,309867654,1245028831.54,0.8527
2026-04-20,4.02369548,4.20208592,4.0137849,4.15253302,1190459449,4939630314.15,3.2757
2026-04-21,4.15253302,4.30119172,4.10298012,4.18226476,1134802366,4785754663.01,3.1226
2026-04-22,4.1624436,4.24172824,4.1624436,4.23181766,681288243,2896227718.08,1.8747
2026-04-23,4.22190708,4.25163882,4.13271186,4.15253302,691490145,2915342390.55,1.9027
2026-04-24,4.13271186,4.15253302,4.07324838,4.09306954,460099783,1905351532.84,1.266
2026-04-27,4.1128907,4.18226476,4.09306954,4.17235418,482406590,2018714635.57,1.3274
2026-04-28,4.1624436,4.17235418,4.10298012,4.1128907,395438634,1647186381.14,1.0881
2026-04-29,4.10298012,4.14262244,4.08315896,4.13271186,414009111,1719219083.41,1.1392
2026-04-30,4.09306954,4.14262244,4.04351664,4.04351664,745404905,3060106519.65,2.0511
2026-05-06,4.07324838,4.18226476,4.05342722,4.14262244,828038480,3436739693.51,2.2785
2026-05-07,4.1624436,4.2119965,4.12280128,4.17235418,665042571,2796958857.79,1.83
2026-05-08,4.15253302,4.15253302,4.08315896,4.13271186,637905658,2646109504.9,1.7553
2026-05-11,4.13271186,4.19217534,4.12280128,4.15253302,610083981,2556271292.19,1.6787
2026-05-12,4.15253302,4.19217534,4.10298012,4.13271186,618521296,2590545784.2,1.702
2026-05-13,4.13271186,4.19217534,4.1128907,4.19217534,638220586,2678779218.26,1.7562
2026-05-14,4.24172824,4.29128114,4.1624436,4.18226476,876112134,3732635811.57,2.4108
2026-05-15,4.18226476,4.20208592,4.08315896,4.10298012,821594531,3418420929.8,2.2608
2026-05-18,4.08315896,4.19217534,4.04351664,4.17235418,839958701,3511996411.82,2.3113
2026-05-19,4.1624436,4.28137056,4.13271186,4.27145998,880105122,3740643041.72,2.4218
2026-05-20,4.25163882,4.27145998,4.20208592,4.22190708,571778743,2440830456.59,1.5733
2026-05-21,4.64806202,4.64806202,4.64806202,4.64806202,1036009956,4858886693.64,2.8507
2026-05-22,4.6579726,5.11385928,4.43002926,5.11385928,6011059197,29162865531.99,16.5404
2026-05-25,5.12376986,5.32198146,5.01475348,5.22287566,4308875818,22498860485.67,11.8566
2026-05-26,5.17332276,5.7481364,5.13368044,5.71840466,5137725121,28645747448.81,14.1373
2026-05-27,5.7481364,6.03554322,5.48055074,5.66885176,5018521556,29012705322.23,13.8093
2026-05-28,5.66885176,5.72831524,5.46072958,5.62920944,3285486853,18529038147.54,9.0406
2026-05-29,5.57965654,5.58956712,5.06430638,5.06430638,3625385864,19135809571.25,9.9758
2026-06-01,5.07421696,5.54001422,5.07421696,5.31207088,3386887593,18297384713.54,9.3196
2026-06-02,5.26251798,5.49046132,5.06430638,5.42108726,3025845529,16146951841.13,8.3261
2026-06-03,5.53010364,5.86706336,5.48055074,5.54001422,3679758381,20984987698.0,10.1255
2026-06-04,5.63912002,6.0950067,5.63912002,6.0950067,3322998819,19950265963.81,9.1438
2026-06-05,6.05536438,6.70946266,5.95625858,6.37250294,5504115519,35684789248.54,15.1455
2026-06-08,6.42205584,6.67973092,6.16438076,6.23375482,4599875918,29701641888.65,12.6573
2026-06-09,6.43196642,6.58062512,6.08509612,6.46169816,4003164716,25595961243.29,11.0154
2026-06-10,6.28330772,6.32295004,5.88688452,5.97607974,3228480444,19645901373.01,9.1285
2026-06-11,5.946348,6.06527496,5.6490306,5.77786814,3299682855,19435833039.12,9.3298
2026-06-12,5.8967951,5.95625858,5.51028248,5.52019306,2914643393,16741278095.7,8.2411
2026-06-15,5.68867292,5.95625858,5.67876234,5.86706336,2992830668,17610050750.1,8.4622
2026-06-16,5.87697394,6.17429134,5.80759988,6.0454538,2602837228,15822472936.35,7.3595
2026-06-17,6.00581148,6.64999918,5.9959009,6.64999918,1855020550,12134264342.14,5.245
2026-06-18,6.86,6.93,6.49,6.55,4003242676,26654280034.46,11.3191
2026-06-22,6.8,7.18,6.68,6.93,3672905339,25427024792.04,10.3851
2026-06-23,6.85,7.07,6.61,6.77,2914057830,19894656607.84,8.2395
2026-06-24,6.7,7.15,6.57,7.07,3587714221,24997368682.67,10.1442
2026-06-25,7.33,7.67,7.14,7.52,3696354824,27560399328.75,10.4514
2026-06-26,7.5,8.24,7.36,7.79,4525176876,35676682214.4,12.7949
2026-06-29,7.96,8.21,7.51,7.95,4152457645,32489059964.56,11.741
2026-06-30,8.15,8.75,8.11,8.68,5187899669,44556777597.08,14.6687
2026-07-01,8.49,8.81,8.31,8.77,4625314988,39601267264.3,13.078
2026-07-02,8.15,9.5,7.89,9.1,5661858899,49342409554.0,16.0088
2026-07-03,8.86,9.09,8.31,8.38,4144206667,35597368805.43,11.7177
2026-07-06,8.21,8.52,7.74,7.76,3708742073,29710846049.61,10.4864
2026-07-07,7.66,7.84,7.45,7.58,2818697744,21575002743.3,7.9698
2026-07-08,7.69,7.9,7.26,7.63,3322287793,25344613436.08,9.3937
2026-07-09,7.71,8.18,7.71,8.15,3793990535,30116575240.89,10.7274
2026-07-10,8.16,8.34,7.59,7.59,3804619925,30277260673.71,10.7575
2026-07-13,7.35,7.41,6.83,6.83,3175870446,22395174215.18,8.9797
2026-07-14,6.9,7.17,6.66,7.02,2936732636,20295239099.47,8.3036
2026-07-15,6.97,6.97,6.35,6.38,3011272806,19757452199.2,8.5143
2026-07-16,6.25,6.39,5.99,6.05,2607655881,16097599005.69,7.3731
2026-07-17,6.09,6.22,5.88,6.07,2956818879,17950015441.99,8.3604
